AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
5-9|~|~|~|~|Mortality|20606460|Esophagus|1999
<1|~|~|~|~|Mortality|3795762|Esophagus|1999
1-4|~|~|~|~|Incidence|14991152|Esophagus|1999
10-14|~|~|~|~|Incidence|19742631|Esophagus|1999
15-19|~|~|~|~|Incidence|19585857|Esophagus|1999
5-9|~|~|~|~|Incidence|20146188|Esophagus|1999
<1|~|~|~|~|Incidence|3708753|Esophagus|1999
1-4|~|~|~|~|Mortality|7493614|Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Female Breast|1999
1-4|~|~|~|~|Incidence|7323088|Female Breast|1999
10-14|~|~|~|~|Incidence|9626112|Female Breast|1999
15-19|0.1|0.3|0.2|17|Incidence|9518101|Female Breast|1999
5-9|~|~|~|~|Incidence|9827638|Female Breast|1999
<1|~|~|~|~|Incidence|1809670|Female Breast|1999
1-4|~|~|~|~|Incidence|7323088|Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|9626112|Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|9518101|Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|9827638|Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1809670|Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Hodgkin Lymphoma|1999
10-14|~|~|~|~|Mortality|20213364|Hodgkin Lymphoma|1999
15-19|0.1|0.2|0.2|31|Mortality|20084602|Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Hodgkin Lymphoma|1999
1-4|~|~|~|~|Incidence|14991152|Hodgkin Lymphoma|1999
10-14|1.0|1.3|1.2|228|Incidence|19742631|Hodgkin Lymphoma|1999
15-19|2.8|3.3|3.1|605|Incidence|19585857|Hodgkin Lymphoma|1999
5-9|0.3|0.5|0.4|79|Incidence|20146188|Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3708753|Hodgkin Lymphoma|1999
1-4|.|.|.|.|Mortality|15339782|Kaposi Sarcoma|1999
10-14|.|.|.|.|Mortality|20213364|Kaposi Sarcoma|1999
15-19|.|.|.|.|Mortality|20084602|Kaposi Sarcoma|1999
5-9|.|.|.|.|Mortality|20606460|Kaposi Sarcoma|1999
<1|.|.|.|.|Mortality|3795762|Kaposi Sarcoma|1999
1-4|~|~|~|~|Incidence|14991152|Kaposi Sarcoma|1999
10-14|~|~|~|~|Incidence|19742631|Kaposi Sarcoma|1999
15-19|~|~|~|~|Incidence|19585857|Kaposi Sarcoma|1999
5-9|~|~|~|~|Incidence|20146188|Kaposi Sarcoma|1999
<1|~|~|~|~|Incidence|3708753|Kaposi Sarcoma|1999
1-4|0.1|0.2|0.1|19|Mortality|15339782|Kidney and Renal Pelvis|1999
10-14|~|~|~|~|Mortality|20213364|Kidney and Renal Pelvis|1999
15-19|~|~|~|~|Mortality|20084602|Kidney and Renal Pelvis|1999
5-9|0.1|0.2|0.1|23|Mortality|20606460|Kidney and Renal Pelvis|1999
<1|~|~|~|~|Mortality|3795762|Kidney and Renal Pelvis|1999
1-4|1.7|2.1|1.9|286|Incidence|14991152|Kidney and Renal Pelvis|1999
10-14|0.1|0.2|0.1|25|Incidence|19742631|Kidney and Renal Pelvis|1999
15-19|0.1|0.2|0.1|29|Incidence|19585857|Kidney and Renal Pelvis|1999
5-9|0.4|0.6|0.5|107|Incidence|20146188|Kidney and Renal Pelvis|1999
<1|1.4|2.3|1.8|68|Incidence|3708753|Kidney and Renal Pelvis|1999
1-4|~|~|~|~|Mortality|15339782|Larynx|1999
10-14|~|~|~|~|Mortality|20213364|Larynx|1999
15-19|~|~|~|~|Mortality|20084602|Larynx|1999
5-9|~|~|~|~|Mortality|20606460|Larynx|1999
<1|~|~|~|~|Mortality|3795762|Larynx|1999
1-4|~|~|~|~|Incidence|14991152|Larynx|1999
10-14|~|~|~|~|Incidence|19742631|Larynx|1999
15-19|~|~|~|~|Incidence|19585857|Larynx|1999
5-9|~|~|~|~|Incidence|20146188|Larynx|1999
<1|~|~|~|~|Incidence|3708753|Larynx|1999
1-4|0.6|0.9|0.8|119|Mortality|15339782|Leukemias|1999
10-14|0.7|1.0|0.9|175|Mortality|20213364|Leukemias|1999
15-19|1.0|1.3|1.1|221|Mortality|20084602|Leukemias|1999
5-9|0.5|0.7|0.6|130|Mortality|20606460|Leukemias|1999
<1|0.5|1.0|0.7|27|Mortality|3795762|Leukemias|1999
1-4|7.5|8.4|8.0|1192|Incidence|14991152|Leukemias|1999
10-14|2.6|3.1|2.8|560|Incidence|19742631|Leukemias|1999
15-19|2.4|2.9|2.7|522|Incidence|19585857|Leukemias|1999
5-9|3.4|3.9|3.6|732|Incidence|20146188|Leukemias|1999
<1|3.7|5.1|4.4|162|Incidence|3708753|Leukemias|1999
1-4|0.1|0.3|0.2|29|Mortality|15339782|Liver and Intrahepatic Bile Duct|1999
10-14|~|~|~|~|Mortality|20213364|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.1|0.1|19|Mortality|20084602|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Mortality|20606460|Liver and Intrahepatic Bile Duct|1999
<1|~|~|~|~|Mortality|3795762|Liver and Intrahepatic Bile Duct|1999
1-4|0.4|0.6|0.5|69|Incidence|14991152|Liver and Intrahepatic Bile Duct|1999
10-14|0.1|0.1|0.1|18|Incidence|19742631|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.2|0.2|35|Incidence|19585857|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Incidence|20146188|Liver and Intrahepatic Bile Duct|1999
<1|0.7|1.4|1.0|38|Incidence|3708753|Liver and Intrahepatic Bile Duct|1999
1-4|~|~|~|~|Mortality|15339782|Lung and Bronchus|1999
10-14|~|~|~|~|Mortality|20213364|Lung and Bronchus|1999
15-19|~|~|~|~|Mortality|20084602|Lung and Bronchus|1999
5-9|~|~|~|~|Mortality|20606460|Lung and Bronchus|1999
<1|~|~|~|~|Mortality|3795762|Lung and Bronchus|1999
1-4|~|~|~|~|Incidence|14991152|Lung and Bronchus|1999
10-14|~|~|~|~|Incidence|19742631|Lung and Bronchus|1999
15-19|0.1|0.2|0.2|30|Incidence|19585857|Lung and Bronchus|1999
5-9|~|~|~|~|Incidence|20146188|Lung and Bronchus|1999
<1|~|~|~|~|Incidence|3708753|Lung and Bronchus|1999
1-4|~|~|~|~|Mortality|7493614|Male and Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Male and Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Male and Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Male and Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|7323088|Male and Female Breast|1999
10-14|~|~|~|~|Incidence|9626112|Male and Female Breast|1999
15-19|0.1|0.3|0.2|17|Incidence|9518101|Male and Female Breast|1999
5-9|~|~|~|~|Incidence|9827638|Male and Female Breast|1999
<1|~|~|~|~|Incidence|1809670|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|7323088|Male and Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|9626112|Male and Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|9518101|Male and Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|9827638|Male and Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1809670|Male and Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Melanomas of the Skin|1999
10-14|~|~|~|~|Mortality|20213364|Melanomas of the Skin|1999
15-19|~|~|~|~|Mortality|20084602|Melanomas of the Skin|1999
5-9|~|~|~|~|Mortality|20606460|Melanomas of the Skin|1999
<1|~|~|~|~|Mortality|3795762|Melanomas of the Skin|1999
1-4|~|~|~|~|Incidence|14991152|Melanomas of the Skin|1999
10-14|0.3|0.4|0.3|65|Incidence|19742631|Melanomas of the Skin|1999
15-19|1.2|1.5|1.3|260|Incidence|19585857|Melanomas of the Skin|1999
5-9|~|~|~|~|Incidence|20146188|Melanomas of the Skin|1999
<1|~|~|~|~|Incidence|3708753|Melanomas of the Skin|1999
1-4|~|~|~|~|Mortality|15339782|Mesothelioma|1999
10-14|~|~|~|~|Mortality|20213364|Mesothelioma|1999
15-19|~|~|~|~|Mortality|20084602|Mesothelioma|1999
5-9|~|~|~|~|Mortality|20606460|Mesothelioma|1999
<1|~|~|~|~|Mortality|3795762|Mesothelioma|1999
1-4|~|~|~|~|Incidence|14991152|Mesothelioma|1999
10-14|~|~|~|~|Incidence|19742631|Mesothelioma|1999
15-19|~|~|~|~|Incidence|19585857|Mesothelioma|1999
5-9|~|~|~|~|Incidence|20146188|Mesothelioma|1999
<1|~|~|~|~|Incidence|3708753|Mesothelioma|1999
1-4|~|~|~|~|Mortality|15339782|Myeloma|1999
10-14|~|~|~|~|Mortality|20213364|Myeloma|1999
15-19|~|~|~|~|Mortality|20084602|Myeloma|1999
5-9|~|~|~|~|Mortality|20606460|Myeloma|1999
<1|~|~|~|~|Mortality|3795762|Myeloma|1999
1-4|~|~|~|~|Incidence|14991152|Myeloma|1999
10-14|~|~|~|~|Incidence|19742631|Myeloma|1999
15-19|~|~|~|~|Incidence|19585857|Myeloma|1999
5-9|~|~|~|~|Incidence|20146188|Myeloma|1999
<1|~|~|~|~|Incidence|3708753|Myeloma|1999
1-4|0.1|0.2|0.1|16|Mortality|15339782|Non-Hodgkin Lymphoma|1999
10-14|0.1|0.2|0.1|25|Mortality|20213364|Non-Hodgkin Lymphoma|1999
15-19|0.2|0.3|0.3|51|Mortality|20084602|Non-Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Non-Hodgkin Lymphoma|1999
1-4|0.6|0.8|0.7|105|Incidence|14991152|Non-Hodgkin Lymphoma|1999
10-14|1.0|1.3|1.2|232|Incidence|19742631|Non-Hodgkin Lymphoma|1999
15-19|1.4|1.7|1.6|306|Incidence|19585857|Non-Hodgkin Lymphoma|1999
5-9|0.8|1.0|0.9|177|Incidence|20146188|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3708753|Non-Hodgkin Lymphoma|1999
1-4|~|~|~|~|Mortality|15339782|Oral Cavity and Pharynx|1999
10-14|~|~|~|~|Mortality|20213364|Oral Cavity and Pharynx|1999
15-19|~|~|~|~|Mortality|20084602|Oral Cavity and Pharynx|1999
5-9|~|~|~|~|Mortality|20606460|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Mortality|3795762|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Incidence|14991152|Oral Cavity and Pharynx|1999
10-14|0.2|0.4|0.3|53|Incidence|19742631|Oral Cavity and Pharynx|1999
15-19|0.3|0.5|0.4|70|Incidence|19585857|Oral Cavity and Pharynx|1999
5-9|0.1|0.1|0.1|18|Incidence|20146188|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Incidence|3708753|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Mortality|7493614|Ovary|1999
10-14|~|~|~|~|Mortality|9855664|Ovary|1999
15-19|~|~|~|~|Mortality|9761569|Ovary|1999
5-9|~|~|~|~|Mortality|10052618|Ovary|1999
<1|~|~|~|~|Mortality|1852123|Ovary|1999
1-4|~|~|~|~|Incidence|7323088|Ovary|1999
10-14|0.5|0.9|0.7|67|Incidence|9626112|Ovary|1999
15-19|1.1|1.6|1.3|124|Incidence|9518101|Ovary|1999
5-9|0.1|0.3|0.2|17|Incidence|9827638|Ovary|1999
<1|~|~|~|~|Incidence|1809670|Ovary|1999
1-4|~|~|~|~|Mortality|15339782|Pancreas|1999
10-14|~|~|~|~|Mortality|20213364|Pancreas|1999
15-19|~|~|~|~|Mortality|20084602|Pancreas|1999
5-9|~|~|~|~|Mortality|20606460|Pancreas|1999
<1|~|~|~|~|Mortality|3795762|Pancreas|1999
1-4|~|~|~|~|Incidence|14991152|Pancreas|1999
10-14|~|~|~|~|Incidence|19742631|Pancreas|1999
15-19|~|~|~|~|Incidence|19585857|Pancreas|1999
5-9|~|~|~|~|Incidence|20146188|Pancreas|1999
<1|~|~|~|~|Incidence|3708753|Pancreas|1999
1-4|~|~|~|~|Mortality|7846168|Prostate|1999
10-14|~|~|~|~|Mortality|10357700|Prostate|1999
15-19|~|~|~|~|Mortality|10323033|Prostate|1999
5-9|~|~|~|~|Mortality|10553842|Prostate|1999
<1|~|~|~|~|Mortality|1943639|Prostate|1999
1-4|~|~|~|~|Incidence|7668064|Prostate|1999
10-14|~|~|~|~|Incidence|10116519|Prostate|1999
15-19|~|~|~|~|Incidence|10067756|Prostate|1999
5-9|~|~|~|~|Incidence|10318550|Prostate|1999
<1|~|~|~|~|Incidence|1899083|Prostate|1999
1-4|~|~|~|~|Mortality|15339782|Stomach|1999
10-14|~|~|~|~|Mortality|20213364|Stomach|1999
15-19|~|~|~|~|Mortality|20084602|Stomach|1999
5-9|~|~|~|~|Mortality|20606460|Stomach|1999
<1|~|~|~|~|Mortality|3795762|Stomach|1999
1-4|~|~|~|~|Incidence|14991152|Stomach|1999
10-14|~|~|~|~|Incidence|19742631|Stomach|1999
15-19|~|~|~|~|Incidence|19585857|Stomach|1999
5-9|~|~|~|~|Incidence|20146188|Stomach|1999
<1|~|~|~|~|Incidence|3708753|Stomach|1999
1-4|~|~|~|~|Mortality|7846168|Testis|1999
10-14|~|~|~|~|Mortality|10357700|Testis|1999
15-19|~|~|~|~|Mortality|10323033|Testis|1999
5-9|~|~|~|~|Mortality|10553842|Testis|1999
<1|~|~|~|~|Mortality|1943639|Testis|1999
1-4|0.2|0.5|0.4|27|Incidence|7668064|Testis|1999
10-14|~|~|~|~|Incidence|10116519|Testis|1999
15-19|3.0|3.7|3.3|332|Incidence|10067756|Testis|1999
5-9|~|~|~|~|Incidence|10318550|Testis|1999
<1|0.6|1.6|1.1|20|Incidence|1899083|Testis|1999
1-4|~|~|~|~|Mortality|15339782|Thyroid|1999
10-14|~|~|~|~|Mortality|20213364|Thyroid|1999
15-19|~|~|~|~|Mortality|20084602|Thyroid|1999
5-9|~|~|~|~|Mortality|20606460|Thyroid|1999
<1|~|~|~|~|Mortality|3795762|Thyroid|1999
1-4|~|~|~|~|Incidence|14991152|Thyroid|1999
10-14|0.3|0.5|0.4|73|Incidence|19742631|Thyroid|1999
15-19|1.6|2.0|1.8|349|Incidence|19585857|Thyroid|1999
5-9|0.1|0.2|0.2|32|Incidence|20146188|Thyroid|1999
<1|~|~|~|~|Incidence|3708753|Thyroid|1999
1-4|~|~|~|~|Mortality|15339782|Urinary Bladder|1999
10-14|~|~|~|~|Mortality|20213364|Urinary Bladder|1999
15-19|~|~|~|~|Mortality|20084602|Urinary Bladder|1999
5-9|~|~|~|~|Mortality|20606460|Urinary Bladder|1999
<1|~|~|~|~|Mortality|3795762|Urinary Bladder|1999
1-4|~|~|~|~|Incidence|14991152|Urinary Bladder|1999
10-14|~|~|~|~|Incidence|19742631|Urinary Bladder|1999
15-19|0.1|0.2|0.1|21|Incidence|19585857|Urinary Bladder|1999
5-9|~|~|~|~|Incidence|20146188|Urinary Bladder|1999
<1|~|~|~|~|Incidence|3708753|Urinary Bladder|1999
1-4|2.5|3.0|2.7|420|Mortality|15322337|All Cancer Sites Combined|2000
10-14|2.3|2.8|2.5|525|Mortality|20637696|All Cancer Sites Combined|2000
15-19|3.4|3.9|3.7|745|Mortality|20294955|All Cancer Sites Combined|2000
5-9|2.2|2.6|2.4|489|Mortality|20463852|All Cancer Sites Combined|2000
<1|1.9|2.9|2.4|92|Mortality|3855956|All Cancer Sites Combined|2000
1-4|19.9|21.4|20.7|3095|Incidence|14974472|All Cancer Sites Combined|2000
10-14|12.0|13.0|12.5|2520|Incidence|20164744|All Cancer Sites Combined|2000
15-19|19.9|21.2|20.6|4071|Incidence|19799255|All Cancer Sites Combined|2000
5-9|11.0|12.0|11.5|2297|Incidence|20008051|All Cancer Sites Combined|2000
<1|22.4|25.5|23.9|900|Incidence|3767637|All Cancer Sites Combined|2000
1-4|0.6|0.8|0.7|104|Mortality|15322337|Brain and Other Nervous System|2000
10-14|0.6|0.9|0.7|150|Mortality|20637696|Brain and Other Nervous System|2000
15-19|0.4|0.6|0.5|105|Mortality|20294955|Brain and Other Nervous System|2000
5-9|0.7|0.9|0.8|166|Mortality|20463852|Brain and Other Nervous System|2000
<1|0.3|0.8|0.5|20|Mortality|3855956|Brain and Other Nervous System|2000
1-4|3.9|4.5|4.2|626|Incidence|14974472|Brain and Other Nervous System|2000
10-14|2.6|3.0|2.8|564|Incidence|20164744|Brain and Other Nervous System|2000
15-19|2.0|2.4|2.2|433|Incidence|19799255|Brain and Other Nervous System|2000
5-9|3.1|3.6|3.4|676|Incidence|20008051|Brain and Other Nervous System|2000
<1|3.5|4.8|4.1|156|Incidence|3767637|Brain and Other Nervous System|2000
1-4|~|~|~|~|Mortality|7485852|Cervix|2000
10-14|~|~|~|~|Mortality|10063054|Cervix|2000
15-19|~|~|~|~|Mortality|9854932|Cervix|2000
5-9|~|~|~|~|Mortality|9984495|Cervix|2000
<1|~|~|~|~|Mortality|1881822|Cervix|2000
1-4|~|~|~|~|Incidence|7315589|Cervix|2000
10-14|~|~|~|~|Incidence|9832364|Cervix|2000
15-19|0.2|0.4|0.2|23|Incidence|9613113|Cervix|2000
5-9|~|~|~|~|Incidence|9761736|Cervix|2000
<1|~|~|~|~|Incidence|1838747|Cervix|2000
1-4|~|~|~|~|Mortality|15322337|Colon and Rectum|2000
10-14|~|~|~|~|Mortality|20637696|Colon and Rectum|2000
15-19|~|~|~|~|Mortality|20294955|Colon and Rectum|2000
5-9|~|~|~|~|Mortality|20463852|Colon and Rectum|2000
<1|~|~|~|~|Mortality|3855956|Colon and Rectum|2000
1-4|~|~|~|~|Incidence|14974472|Colon and Rectum|2000
10-14|~|~|~|~|Incidence|20164744|Colon and Rectum|2000
15-19|0.2|0.4|0.3|53|Incidence|19799255|Colon and Rectum|2000
5-9|~|~|~|~|Incidence|20008051|Colon and Rectum|2000
<1|~|~|~|~|Incidence|3767637|Colon and Rectum|2000
1-4|~|~|~|~|Mortality|7485852|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Mortality|10063054|Corpus and Uterus, NOS|2000
15-19|~|~|~|~|Mortality|9854932|Corpus and Uterus, NOS|2000
5-9|~|~|~|~|Mortality|9984495|Corpus and Uterus, NOS|2000
<1|~|~|~|~|Mortality|1881822|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Incidence|7315589|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Incidence|9832364|Corpus and Uterus, NOS|2000
15-19|~|~|~|~|Incidence|9613113|Corpus and Uterus, NOS|2000
5-9|~|~|~|~|Incidence|9761736|Corpus and Uterus, NOS|2000
<1|~|~|~|~|Incidence|1838747|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Mortality|15322337|Esophagus|2000
10-14|~|~|~|~|Mortality|20637696|Esophagus|2000
15-19|~|~|~|~|Mortality|20294955|Esophagus|2000
5-9|~|~|~|~|Mortality|20463852|Esophagus|2000
<1|~|~|~|~|Mortality|3855956|Esophagus|2000
1-4|~|~|~|~|Incidence|14974472|Esophagus|2000
10-14|~|~|~|~|Incidence|20164744|Esophagus|2000
15-19|~|~|~|~|Incidence|19799255|Esophagus|2000
5-9|~|~|~|~|Incidence|20008051|Esophagus|2000
<1|~|~|~|~|Incidence|3767637|Esophagus|2000
1-4|~|~|~|~|Mortality|7485852|Female Breast|2000
10-14|~|~|~|~|Mortality|10063054|Female Breast|2000
15-19|~|~|~|~|Mortality|9854932|Female Breast|2000
5-9|~|~|~|~|Mortality|9984495|Female Breast|2000
<1|~|~|~|~|Mortality|1881822|Female Breast|2000
1-4|~|~|~|~|Incidence|7315589|Female Breast|2000
10-14|~|~|~|~|Incidence|9832364|Female Breast|2000
15-19|~|~|~|~|Incidence|9613113|Female Breast|2000
5-9|~|~|~|~|Incidence|9761736|Female Breast|2000
<1|~|~|~|~|Incidence|1838747|Female Breast|2000
1-4|~|~|~|~|Incidence|7315589|Female Breast, <i>in situ</i>|2000
10-14|~|~|~|~|Incidence|9832364|Female Breast, <i>in situ</i>|2000
15-19|~|~|~|~|Incidence|9613113|Female Breast, <i>in situ</i>|2000
5-9|~|~|~|~|Incidence|9761736|Female Breast, <i>in situ</i>|2000
<1|~|~|~|~|Incidence|1838747|Female Breast, <i>in situ</i>|2000
1-4|~|~|~|~|Mortality|15322337|Hodgkin Lymphoma|2000
10-14|~|~|~|~|Mortality|20637696|Hodgkin Lymphoma|2000
15-19|0.1|0.2|0.1|21|Mortality|20294955|Hodgkin Lymphoma|2000
5-9|~|~|~|~|Mortality|20463852|Hodgkin Lymphoma|2000
<1|~|~|~|~|Mortality|3855956|Hodgkin Lymphoma|2000
1-4|0.1|0.2|0.1|16|Incidence|14974472|Hodgkin Lymphoma|2000
10-14|1.1|1.4|1.3|255|Incidence|20164744|Hodgkin Lymphoma|2000
15-19|2.9|3.4|3.2|625|Incidence|19799255|Hodgkin Lymphoma|2000
5-9|0.3|0.5|0.4|72|Incidence|20008051|Hodgkin Lymphoma|2000
<1|~|~|~|~|Incidence|3767637|Hodgkin Lymphoma|2000
1-4|.|.|.|.|Mortality|15322337|Kaposi Sarcoma|2000
10-14|.|.|.|.|Mortality|20637696|Kaposi Sarcoma|2000
15-19|.|.|.|.|Mortality|20294955|Kaposi Sarcoma|2000
5-9|.|.|.|.|Mortality|20463852|Kaposi Sarcoma|2000
<1|.|.|.|.|Mortality|3855956|Kaposi Sarcoma|2000
1-4|~|~|~|~|Incidence|14974472|Kaposi Sarcoma|2000
10-14|~|~|~|~|Incidence|20164744|Kaposi Sarcoma|2000
15-19|~|~|~|~|Incidence|19799255|Kaposi Sarcoma|2000
5-9|~|~|~|~|Incidence|20008051|Kaposi Sarcoma|2000
<1|~|~|~|~|Incidence|3767637|Kaposi Sarcoma|2000
1-4|~|~|~|~|Mortality|15322337|Kidney and Renal Pelvis|2000
10-14|~|~|~|~|Mortality|20637696|Kidney and Renal Pelvis|2000
15-19|~|~|~|~|Mortality|20294955|Kidney and Renal Pelvis|2000
5-9|0.1|0.2|0.1|21|Mortality|20463852|Kidney and Renal Pelvis|2000
<1|~|~|~|~|Mortality|3855956|Kidney and Renal Pelvis|2000
1-4|1.9|2.4|2.1|321|Incidence|14974472|Kidney and Renal Pelvis|2000
10-14|0.1|0.2|0.1|23|Incidence|20164744|Kidney and Renal Pelvis|2000
15-19|0.1|0.2|0.1|27|Incidence|19799255|Kidney and Renal Pelvis|2000
5-9|0.5|0.7|0.6|124|Incidence|20008051|Kidney and Renal Pelvis|2000
<1|1.2|2.0|1.5|58|Incidence|3767637|Kidney and Renal Pelvis|2000
1-4|~|~|~|~|Mortality|15322337|Larynx|2000
10-14|~|~|~|~|Mortality|20637696|Larynx|2000
15-19|~|~|~|~|Mortality|20294955|Larynx|2000
5-9|~|~|~|~|Mortality|20463852|Larynx|2000
<1|~|~|~|~|Mortality|3855956|Larynx|2000
1-4|~|~|~|~|Incidence|14974472|Larynx|2000
10-14|~|~|~|~|Incidence|20164744|Larynx|2000
15-19|~|~|~|~|Incidence|19799255|Larynx|2000
5-9|~|~|~|~|Incidence|20008051|Larynx|2000
