AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Malignant|~|40460864|Female|Anaplastic oligodendroglioma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Malignant|~|40307649|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Anaplastic oligodendroglioma|2012-2016|~|~|~
0-19|~|~|~|Malignant|~|201002181|Female|Anaplastic oligodendroglioma|2012-2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Malignant|~|40212686|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Malignant|~|40155513|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Anaplastic oligodendroglioma|2015|~|~|~
0-19|~|~|~|Malignant|~|40153090|Female|Anaplastic oligodendroglioma|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Anaplastic oligodendroglioma|2016|~|~|~
0-19|~|~|~|Malignant|~|40173243|Female|Anaplastic oligodendroglioma|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Astrocytoma, NOS|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|93|39865121|Female|Astrocytoma, NOS|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Astrocytoma, NOS|2005|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|39998876|Female|Astrocytoma, NOS|2005|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Astrocytoma, NOS|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|90|40165421|Female|Astrocytoma, NOS|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Astrocytoma, NOS|2007|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40382360|Female|Astrocytoma, NOS|2007|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Astrocytoma, NOS|2008|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40576293|Female|Astrocytoma, NOS|2008|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Astrocytoma, NOS|2009|~|~|~
0-19|0.2|0.3|0.2|Malignant|96|40670476|Female|Astrocytoma, NOS|2009|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Astrocytoma, NOS|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|94|40632786|Female|Astrocytoma, NOS|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Astrocytoma, NOS|2011|~|~|~
0-19|0.2|0.2|0.2|Malignant|81|40460864|Female|Astrocytoma, NOS|2011|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Astrocytoma, NOS|2012|~|~|~
0-19|0.2|0.3|0.2|Malignant|83|40307649|Female|Astrocytoma, NOS|2012|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Astrocytoma, NOS|2012-2016|~|~|~
0-19|0.2|0.2|0.2|Malignant|434|201002181|Female|Astrocytoma, NOS|2012-2016|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Astrocytoma, NOS|2013|~|~|~
0-19|0.2|0.3|0.2|Malignant|100|40212686|Female|Astrocytoma, NOS|2013|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Astrocytoma, NOS|2014|~|~|~
0-19|0.2|0.3|0.2|Malignant|99|40155513|Female|Astrocytoma, NOS|2014|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Astrocytoma, NOS|2015|~|~|~
0-19|0.1|0.2|0.2|Malignant|72|40153090|Female|Astrocytoma, NOS|2015|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Astrocytoma, NOS|2016|~|~|~
0-19|0.2|0.2|0.2|Malignant|80|40173243|Female|Astrocytoma, NOS|2016|0.2|0.2|0.2
0-19|0.0|0.1|0.1|Benign/Borderline|29|39865121|Female|Choroid plexus|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39865121|Female|Choroid plexus|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|39998876|Female|Choroid plexus|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39998876|Female|Choroid plexus|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|40165421|Female|Choroid plexus|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40165421|Female|Choroid plexus|2006|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|30|40382360|Female|Choroid plexus|2007|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40382360|Female|Choroid plexus|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|42|40576293|Female|Choroid plexus|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40576293|Female|Choroid plexus|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|40670476|Female|Choroid plexus|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40670476|Female|Choroid plexus|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|40632786|Female|Choroid plexus|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40632786|Female|Choroid plexus|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|27|40460864|Female|Choroid plexus|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40460864|Female|Choroid plexus|2011|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|25|40307649|Female|Choroid plexus|2012|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40307649|Female|Choroid plexus|2012|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|127|201002181|Female|Choroid plexus|2012-2016|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|52|201002181|Female|Choroid plexus|2012-2016|0.0|0.0|0.0
0-19|0.0|0.1|0.1|Benign/Borderline|28|40212686|Female|Choroid plexus|2013|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40212686|Female|Choroid plexus|2013|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|40155513|Female|Choroid plexus|2014|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40155513|Female|Choroid plexus|2014|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|31|40153090|Female|Choroid plexus|2015|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40153090|Female|Choroid plexus|2015|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|23|40173243|Female|Choroid plexus|2016|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40173243|Female|Choroid plexus|2016|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|83|39865121|Female|Craniopharyngioma|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39865121|Female|Craniopharyngioma|2004|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|39998876|Female|Craniopharyngioma|2005|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|39998876|Female|Craniopharyngioma|2005|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|76|40165421|Female|Craniopharyngioma|2006|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40165421|Female|Craniopharyngioma|2006|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|96|40382360|Female|Craniopharyngioma|2007|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40382360|Female|Craniopharyngioma|2007|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|64|40576293|Female|Craniopharyngioma|2008|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40576293|Female|Craniopharyngioma|2008|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|91|40670476|Female|Craniopharyngioma|2009|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40670476|Female|Craniopharyngioma|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|92|40632786|Female|Craniopharyngioma|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40632786|Female|Craniopharyngioma|2010|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|86|40460864|Female|Craniopharyngioma|2011|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40460864|Female|Craniopharyngioma|2011|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|40307649|Female|Craniopharyngioma|2012|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40307649|Female|Craniopharyngioma|2012|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|403|201002181|Female|Craniopharyngioma|2012-2016|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|201002181|Female|Craniopharyngioma|2012-2016|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|89|40212686|Female|Craniopharyngioma|2013|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40212686|Female|Craniopharyngioma|2013|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|92|40155513|Female|Craniopharyngioma|2014|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40155513|Female|Craniopharyngioma|2014|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|80|40153090|Female|Craniopharyngioma|2015|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40153090|Female|Craniopharyngioma|2015|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|64|40173243|Female|Craniopharyngioma|2016|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40173243|Female|Craniopharyngioma|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Diffuse astrocytoma|2004|~|~|~
0-19|0.0|0.1|0.1|Malignant|20|39865121|Female|Diffuse astrocytoma|2004|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Diffuse astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|39998876|Female|Diffuse astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Diffuse astrocytoma|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40382360|Female|Diffuse astrocytoma|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Diffuse astrocytoma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|40576293|Female|Diffuse astrocytoma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Diffuse astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40670476|Female|Diffuse astrocytoma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Diffuse astrocytoma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|40632786|Female|Diffuse astrocytoma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Malignant|~|40460864|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Malignant|~|40307649|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Diffuse astrocytoma|2012-2016|~|~|~
0-19|0.0|0.0|0.0|Malignant|28|201002181|Female|Diffuse astrocytoma|2012-2016|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Malignant|~|40212686|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Malignant|~|40155513|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Diffuse astrocytoma|2015|~|~|~
0-19|~|~|~|Malignant|~|40153090|Female|Diffuse astrocytoma|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Diffuse astrocytoma|2016|~|~|~
0-19|~|~|~|Malignant|~|40173243|Female|Diffuse astrocytoma|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
0-19|0.5|0.6|0.5|Malignant|216|39865121|Female|Embryonal/primitive/medulloblastoma|2004|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
0-19|0.4|0.5|0.5|Malignant|185|39998876|Female|Embryonal/primitive/medulloblastoma|2005|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
0-19|0.4|0.6|0.5|Malignant|203|40165421|Female|Embryonal/primitive/medulloblastoma|2006|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
0-19|0.5|0.6|0.5|Malignant|221|40382360|Female|Embryonal/primitive/medulloblastoma|2007|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
0-19|0.5|0.6|0.6|Malignant|229|40576293|Female|Embryonal/primitive/medulloblastoma|2008|0.5|0.6|0.6
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
0-19|0.4|0.6|0.5|Malignant|205|40670476|Female|Embryonal/primitive/medulloblastoma|2009|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
0-19|0.4|0.5|0.4|Malignant|174|40632786|Female|Embryonal/primitive/medulloblastoma|2010|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Embryonal/primitive/medulloblastoma|2011|~|~|~
0-19|0.4|0.6|0.5|Malignant|196|40460864|Female|Embryonal/primitive/medulloblastoma|2011|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Embryonal/primitive/medulloblastoma|2012|~|~|~
0-19|0.4|0.5|0.4|Malignant|180|40307649|Female|Embryonal/primitive/medulloblastoma|2012|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|201002181|Female|Embryonal/primitive/medulloblastoma|2012-2016|~|~|~
0-19|0.4|0.5|0.5|Malignant|943|201002181|Female|Embryonal/primitive/medulloblastoma|2012-2016|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40212686|Female|Embryonal/primitive/medulloblastoma|2013|~|~|~
0-19|0.4|0.5|0.5|Malignant|187|40212686|Female|Embryonal/primitive/medulloblastoma|2013|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Embryonal/primitive/medulloblastoma|2014|~|~|~
0-19|0.5|0.6|0.5|Malignant|211|40155513|Female|Embryonal/primitive/medulloblastoma|2014|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Embryonal/primitive/medulloblastoma|2015|~|~|~
0-19|0.4|0.5|0.5|Malignant|189|40153090|Female|Embryonal/primitive/medulloblastoma|2015|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Embryonal/primitive/medulloblastoma|2016|~|~|~
0-19|0.4|0.5|0.4|Malignant|176|40173243|Female|Embryonal/primitive/medulloblastoma|2016|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Ependymoma variants|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Ependymoma variants|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Ependymoma variants|2010|~|~|~
0-19|~|~|~|Malignant|~|40632786|Female|Ependymoma variants|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|40460864|Female|Ependymoma variants|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40460864|Female|Ependymoma variants|2011|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|16|40307649|Female|Ependymoma variants|2012|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40307649|Female|Ependymoma variants|2012|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|68|201002181|Female|Ependymoma variants|2012-2016|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|201002181|Female|Ependymoma variants|2012-2016|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|40212686|Female|Ependymoma variants|2013|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40212686|Female|Ependymoma variants|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40155513|Female|Ependymoma variants|2014|~|~|~
0-19|~|~|~|Malignant|~|40155513|Female|Ependymoma variants|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40153090|Female|Ependymoma variants|2015|~|~|~
0-19|~|~|~|Malignant|~|40153090|Female|Ependymoma variants|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40173243|Female|Ependymoma variants|2016|~|~|~
0-19|~|~|~|Malignant|~|40173243|Female|Ependymoma variants|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma/anaplastic ependymoma|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|97|39865121|Female|Ependymoma/anaplastic ependymoma|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma/anaplastic ependymoma|2005|~|~|~
0-19|0.2|0.3|0.3|Malignant|111|39998876|Female|Ependymoma/anaplastic ependymoma|2005|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Ependymoma/anaplastic ependymoma|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|98|40165421|Female|Ependymoma/anaplastic ependymoma|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Ependymoma/anaplastic ependymoma|2007|~|~|~
0-19|0.1|0.2|0.2|Malignant|71|40382360|Female|Ependymoma/anaplastic ependymoma|2007|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Ependymoma/anaplastic ependymoma|2008|~|~|~
0-19|0.1|0.2|0.2|Malignant|75|40576293|Female|Ependymoma/anaplastic ependymoma|2008|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Ependymoma/anaplastic ependymoma|2009|~|~|~
0-19|0.2|0.2|0.2|Malignant|80|40670476|Female|Ependymoma/anaplastic ependymoma|2009|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40632786|Female|Ependymoma/anaplastic ependymoma|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|40632786|Female|Ependymoma/anaplastic ependymoma|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40460864|Female|Ependymoma/anaplastic ependymoma|2011|~|~|~
0-19|0.2|0.3|0.2|Malignant|99|40460864|Female|Ependymoma/anaplastic ependymoma|2011|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40307649|Female|Ependymoma/anaplastic ependymoma|2012|~|~|~
